user_id;click_id;timestamp;price
f120b615df2e1a8bcf6d793bdbbd503f;2.0;824;20.0
7a42e033e5cb95a03f689e822a16ad9b;1.0;824;209.0
8eae1c45d9195b869b255285c0e2da6d;4.0;824;127.0
3f51be06a90937eb91d1a6dc7fd67049;3.0;824;28.0
580268437067e3646b189a6647d40c3b;1.0;824;56.0
86c537f5d1251c644fed9f71360eac35;9.0;824;104.0
170f725b0a30a91e077950cf94127e4b;16.0;824;310.0
5c95466099af23021422627fe81dcebd;1.0;824;10.0
8a7a55cf275351bfcb241bb176c8a530;1.0;824;10.0
e99a42fcd507e079e66b8f027106839a;38.0;824;627.0
2b3a99f9c1efb529adbab3367d7e6a64;31.0;824;1290.0
d7a6140d2f1ac1d01c7d4b4b0d28bcc4;4.0;824;151.0
36484dcfb388a12f6625d17e47ab391f;7.0;824;103.0
4bcf17379a7752be0003e901f5471b69;104.0;824;1552.0
db16c3f917cf042b42e8ecdaee9c6f9d;1.0;824;11.0
330ac4dc83477c728cebe44c57e2777b;1.0;824;12.0
7eaef933d8820f6098d26297997bd5e1;9.0;824;290.0
b8623f8d116c1cf5a19d833754a3a2ea;1.0;824;10.0
fe6d4746c19f9264b72d5eeef4077efb;16.0;824;235.0
3ccf8df279221611cd8dd41ab1fab0b5;82.0;824;1872.0
20d505a8680fbcee0851e702dfb369ca;10.0;824;345.0
c1527f12d97b5efb1ec5ca7d29acabed;7.0;824;425.0
5d695f884e4b2a66c70e8b8f0d880905;1.0;824;10.0
442bbe5ed618720736d2d06ce7875747;33.0;824;1883.0
7184db73f912aaa7ccb9a610fb07933a;4.0;824;90.0
0460b7ea611a12870755319ac0c8240a;13.0;824;880.0
b7d9b3757b837ebec859981226b64ae8;27.0;824;407.0
e9716484f61e1a31f97ccbc28ed9f56b;14.0;824;282.0
e5693095aebfafd7dc620d1aeca1ced1;11.0;824;139.0
65cced19c8b86cc73004b76e11bb8970;23.0;824;1915.0
d5b8c351031a6806a95931a9a90ce16b;2.0;824;20.0
eb4f55e53d97ddd2b916fee7f6e7e346;3.0;824;100.0
e683d3df6cb04d8573ee5c7cb0fb8586;13.0;824;130.0
